source_code,name,type,area
80102016,LAS MORAS,other,
80110201,LAS PILAS,other,
80103026,LAS TRANCAS,other,
80103027,LAS TROJAS,other,
80101542,LOMAS DE SAN JOSE II ETAPA,other,
80101596,LOMAS DEL HATILLO,other,
80102017,LOS BALLOS,other,
80136013,LOS ENCINOS,other,
80103028,LOS ENCUENTROS,other,
80101597,LOS LAURELES,other,
80103029,LOS LIMONES,other,
80101583,LOS OLIVOS,other,
80136021,LOS PLANCHONES,other,
80103042,LOS POZOS,other,
80101516,LOTIFICACION ALTOS DE LA LOMA,other,
80101571,MACROALBEGUE EL TREBOL NO. 1,other,
80141019,MALGUARITA,other,
8012701,MATEO,other,
80103031,MATUAZ,other,
80101601,MOLOLOA,other,
80136022,MONTAÑA DE AZACUALPA,other,
80103043,MONTE CRUDO,other,
80101600,MONTE FRESCO,other,
80101267,MONTES DE SINAI,other,
80136014,MULULAR,other,
80104005,PASO BLANCO,other,
80101576,PASEO O FINCA LOS LAURELES,other,
80141026,PENITENCIARIA CENTRAL,other,
80101599,PIE GIGANTE,other,
80141027,POTRERILLOS,other,
80103045,QDA. EL RAICERO,other,
80101606,QUEBRACHAL EL OCOTAL,other,
80106005,QUEBRADA HONDA,other,
80138004,QUIEBRA MONTES,other,
80136016,QUISCAMONTE,other,
80102019,RANCHO AMARATECA,other,
80101646,RES. AGUA DULCE,residential,
80101376,RES. ALEMAN,residential,
80101721,RES. CENTROAMERICA,residential,
80101517,RES. CONDOMINIOS VIERA,residential,
80101651,RES. EL MOLINON,residential,
10000023,RES. IZCAYA,residential,
80101582,RES. LA ESTANCIA,residential,
80101628,RES. LA GRANJA,residential,
80101724,RES. LAS CASITAS,residential,
80101648,RES. LAS UVAS,residential,
80101626,RES. LOMAS DE LA FLORIDA,residential,
80101643,RES. LOMAS MARIA AUXILIADORA,residential,
80101715,RES. LOS EUCALIPTOS,residential,
80101668,RES. LOS HIDALGOS,residential,
80101627,RES. LOS PORTALES,residential,
80101587,RES. PALMA REAL,residential,
80101664,RES. SAN JUAN,residential,
80101680,RES. SAN SEBASTIAN,residential,
80101723,RES. SANTA CRISTINA,residential,
80101654,RES. VEGAS DEL RIO,residential,
80101621,RES. VENECIA,residential,
80101619,RES. VIA VENNETTO,residential,
80101720,RES. VILLA AURORA,residential,
80101710,RES. VILLA CENTROAMERICANA,residential,
80101725,RES. VILLA ESMERALDA,residential,
80101557,RES.EL TRAPICHE,residential,
80101526,RES.LOMAS DE NAUVOO,residential,
80101558,RES.VILLAS PALMAS DE SAN IGNACIO,residential,
80101563,RES.VILLAS UNIVERSITARIAS NO.2,residential,
80101607,RESIDENCIAL EMANUEL,residential,
80139006,RESIDENCIAL ENMANUEL,residential,
80101707,RESIDENCIAL HACIENDA REAL,residential,
80101588,RESIDENCIAL NUEVA AUSTRALIA,residential,
80101657,RESIDENCIAL VENECIA,residential,
80137006,RESIDENCIAL VILLA LIA,residential,
80137007,RESIDENCIAL VISTA AL VALLE,residential,
80136017,RESISAPA,other,
80136023,RINCON DE DOLORES,other,
80102020,RIO FRIO,other,
80101564,ROBLE ALTO,other,
80101598,SABANA DEL RINCON,other,
80140012,SACAHUALAS,other,
80104007,SAN ANTONIO DE LA LECHE,other,
80140001,SAN JOSE DE SOROGUARA,other,
80101605,SANTA CLARA,other,
80137001,SANTA CRUZ ABAJO,other,
80138001,SANTA CRUZ ARRIBA,other,
80103036,SANTA ELENA,other,
80122019,SANTA FE,other,
80122021,SANTA REGINA,other,
80139001,SANTA ROSA,other,
80102021,SANTA ROSITA,other,
80103037,SUNTULE,other,
80101566,UNION Y FUERZA,other,
80101559,UNIVERSIDAD ESTE,other,
80101579,URBANIZACION AGUA DULCE,other,
80101518,URBANIZACION LA CUMBRE,other,
80101519,URBANIZACION LOMA VERDE,other,
80101520,ZONA INDUSTRIAL CAPRISA,other,
