source_code,name,type,area
80101253,COL. ALTOS DE LA MAYANGLE,colony,
80101102,COL. ALTOS DE LA PRIMAVERA,colony,
80101652,COL. ALTOS DE LAS HADAS,colony,
80101396,COL. ALTOS DE LAS TAPIAS,colony,
80101103,COL. ALTOS DE LAS VEGAS,colony,
80101104,COL. ALTOS DE LOARQUE,colony,
80101397,COL. ALTOS DE LOS LAURELES,colony,
80101398,COL. ALTOS DE MIRAMESI,colony,
80101105,COL. ALTOS DE MIRAMONTES,colony,
80101399,COL. ALTOS DE SAN ISIDRO,colony,
80101107,COL. ALTOS DE SAN JOSE,colony,
80101632,COL. ALTOS DE SANTA ROSA,colony,
80101108,COL. ALTOS DE TILOARQUE,colony,
80101400,COL. ALTOS DE TONCONTIN,colony,
80101612,COL. ALTOS DE VILLADELA,colony,
80101109,COL. ALTOS DEL MILAGRO,colony,
80101401,COL. ALTOS DEL PARAISO,colony,
80101547,COL. ALTOS DEL PEDREGALITO,colony,
80101110,COL. AMERICA,colony,
80101111,COL. ARGENTINA,colony,
80101711,COL. ARSIERI,colony,
80101402,COL. ARTURO QUESADA,colony,
80101112,COL. AURORA NO.1,colony,
80101113,COL. AYESTAS,colony,
80101114,COL. BELLA ORIENTE,colony,
80101404,COL. VELLA VISTA ORIENTE,colony,
80101115,COL. BENDECK,colony,
80101405,COL. BERNARDO DAZZI,colony,
80101406,COL. BETHEL O DIOS PROVEERA,colony,
80101116,COL. BOLIVAR,colony,
80101117,COL. BRASILIA,colony,
80101387,COL. BRISAS DE LA LAGUNA,colony,
80101119,COL. BRISAS DE OLANCHO,colony,
80101120,COL. BRISAS DE SUYAPA,colony,
80101407,COL. BRISAS DEL CORTIJO,colony,
80101005,COL. BRISAS DEL NORTE,colony,
80101122,COL. BRISAS DEL VALLE,colony,
80101123,COL. BUENAS NUEVAS,colony,
80101714,COL. CALAPANGUA,colony,
80101408,COL. CAMPANA ARRIBA,colony,
80101124,COL. CAMPO CIELO,colony,
80102034,COL. CAMPO VERDE,colony,
80101125,COL. CANADA,colony,
80101410,COL. CANTARERO LOPEZ,colony,
80101411,COL. CASAVOLA,colony,
80101129,COL. CENTRO AMERICA OESTE,colony,
80101672,COL. CENTROAMERICANA,colony,
80101138,COL. EL CERRITO,colony,
80101130,COL. CERRO GRANDE,colony,
80101131,COL. CIUDAD NUEVA,colony,
80101412,COL.COFRADIA,colony,
8014601,COL. CONTINENTAL,colony,
80101413,COL. COOPERATIVA LAS MERCEDES,colony,
80101414,COL. COVESPUL,colony,
80101132,COL. CRUZ ROJA,colony,
80101133,COL. DIVANNA,colony,
80102033,COL. DIVINA PROVIDENCIA,colony,
80101629,COL.DORA DE AZSURA,colony,
80101675,COL. ECOVIVIENDA,colony,
80101145,COL. EL PEDERNAL,colony,
80101096,COL. EL ALAMO,colony,
80101134,COL. EL CARRIZAL NO. 1,colony,
80101135,COL. EL CARRIZAL NO. 2,colony,
80101136,COL EL CASTANO,colony,
80101137,COL EL CASTANO SUR,colony,
80101139,COL. EL COUNTRY,colony,
80101140,COL. EL DORADO,colony,
80101141,COL. EL HATILLO,colony,
80101143,COL. EL HOGAR,colony,
80101144,COL. EL MANANTIAL,colony,
8014602,COL. EL PEDREGALITO NO. 2,colony,
80101146,COL. EL PORVENIR,colony,
80101147,COL. EL PRADO,colony,
80101148,COL. EL PROGRESO NO. 1,colony,
80101149,COL. EL PROGRESO NO. 2,colony,
80101151,COL. EL ROSARIO,colony,
80101152,COL. EL SITIO,colony,
80101153,COL. EL SOCORRO,colony,
80101154,COL. EL TRIANGULO,colony,
80101157,COL. EL ELVEL,colony,
80101197,COL. ERA NO.1,colony,
80101198,COL. ERA NO. 2,colony,
80101158,COL. EL ESPIRITU SANTO,colony,
80101159,COL. ESTADOS UNIDOS,colony,
80101416,COL. ESTIQUIRIN,colony,
80101417,COL. EUGENIO MATUTE CANIZALES,colony,
80101160,COL. FALDAS DEL PEDREGAL,colony,
80101161,COL. FATIMA,colony,
80101162,COL. FEHCOVIL,colony,
80101681,COL. LA FELICIDAD,colony,
80101165,COL. FLOR DEL CAMPO,colony,
80101163,COL. FLOR NO.1,colony,
80101164,COL. FLOR NO.2,colony,
80101167,COL. FLORENCIA NORTE,colony,
80101168,COL. FLORENCIA SUR,colony,
80101169,COL. FLORES DE ORIENTE,colony,
80101170,COL. FRANCISCO MORAZAN,colony,
80101171,COL. FRANCISCO MURILLO SOTO,colony,
80101420,COL. FUERZAS ARMADAS,colony,
80101172,COL. FUERZAS UNIDAS,colony,
80101173,COL. GODOY,colony,
80101295,COL. GRACIAS A DIOS,colony,
80101294,COL. GRANADA,colony,
80101175,COL. GUAMILITO,colony,
80101295,COL. GUAYMURAS,colony,
80101176,COL. GUILLEN,colony,
80141028,COL. EL HABITAT,colony,
80101177,COL. HATO DE ENMEDIO SECTOR 1,colony,
80101616,COL. HAYA,colony,
80101178,COL. HENRY MERRIAN,colony,
80101421,COL. HERMANOS REINA,colony,
80101650,COL. HOLLYWOOD,colony,
80101179,COL. HOLYWOOD,colony,
80101180,COL. HUMUYA,colony,
80101422,COL. IBERIA,colony,
80101181,COL. INESTROZA,colony,
80101183,COL. INTERAMERICANA,colony,
80101185,COL. ISRAEL NORTE,colony,
80101186,COL. ISRAEL SUR,colony,
80101184,COL. IZAGUIRRE,colony,
80101187,COL. JACARANDA,colony,
80101423,COL. JAPON,colony,
80101644,COL. JARDIN DE LAS MERCEDES,colony,
80101424,COL. JARDINES DE MIRAFLORES,colony,
80101189,COL. JARDINES DE SAN JOSE,colony,
80101190,COL. JARDINES DE TONCONTIN,colony,
80101191,COL. JARDINES DEL CARRIZAL,colony,
80101425,COL. JARDINES DEL NORTE,colony,
80101677,COL. JOSE ANGEL ULLOA,colony,
80101426,COL. JOSE ARTURO DUARTE,colony,
80101192,COL. JOSE SIMON AZCONA,colony,
80101427,COL. JUAN LINDO,colony,
80101194,COL. LA CAMPANA,colony,
80101428,COL. LA CAMPANA O MAYA CENTRO,colony,
80101641,COL. LA CAÑADA,colony,
80101199,COL. LA ESPERANZA,colony,
80101200,COL. LA FRATERNIDAD,colony,
80101201,COL. LA FUENTE,colony,
80101202,COL. LA HAYA,colony,
80101182,COL. LA INDEPENDENCIA,colony,
80101203,COL. LA JOYA,colony,
80101204,COL. LA LAGUNA,colony,
80101429,COL. LA LIBERTAD,colony,
80101205,COL. LA PENA,colony,
80101660,COL. LA PEÑA,colony,
80101206,COL. LA POPULAR,colony,
80101207,COL. LA PRADERA,colony,
80101208,COL. LA PRIMAVERA,colony,
80101209,COL LA PROVIDENCIA,colony,
80101210,COL. LA REFORMA,colony,
80101211,COL. LA ROSA,colony,
80101212,COL. LA SOSA,colony,
80101213,COL. LA TRINIDAD,colony,
80101215,COL. LA UNION,colony,
80101216,COL. LARA,colony,
80101217,COL. LAS BRISAS,colony,
80101195,COL. LAS CANTERAS,colony,
80101430,COL. LAS GRANJITAS,colony,
80101234,COL. LAS LOMAS DEL GUIJARRO,colony,
80101218,COL. LAS MERCEDES,colony,
80101219,COL. LAS MINITAS,colony,
